scorer,DLC_resnet50_chuteOct4shuffle1_10000,DLC_resnet50_chuteOct4shuffle1_10000,DLC_resnet50_chuteOct4shuffle1_10000,DLC_resnet50_chuteOct4shuffle1_10000,DLC_resnet50_chuteOct4shuffle1_10000,DLC_resnet50_chuteOct4shuffle1_10000,DLC_resnet50_chuteOct4shuffle1_10000,DLC_resnet50_chuteOct4shuffle1_10000,DLC_resnet50_chuteOct4shuffle1_10000,DLC_resnet50_chuteOct4shuffle1_10000,DLC_resnet50_chuteOct4shuffle1_10000,DLC_resnet50_chuteOct4shuffle1_10000,DLC_resnet50_chuteOct4shuffle1_10000,DLC_resnet50_chuteOct4shuffle1_10000,DLC_resnet50_chuteOct4shuffle1_10000
bodyparts,quadril,quadril,quadril,joelho,joelho,joelho,maleolo,maleolo,maleolo,calcaneo,calcaneo,calcaneo,pontadope,pontadope,pontadope
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,97.36882019042969,57.1617431640625,0.9988920092582703,70.70442962646484,123.00386810302734,0.998193085193634,19.783710479736328,178.3466796875,0.998185932636261,8.110918045043945,177.41993713378906,0.9953157901763916,33.63730239868164,200.85702514648438,0.972674548625946
1,100.40425109863281,55.22101974487305,0.9998316764831543,72.09400939941406,120.35223388671875,0.996947705745697,17.67609977722168,172.58737182617188,0.999439537525177,9.361682891845703,172.81642150878906,0.9960380792617798,34.27534866333008,196.61903381347656,0.9868730902671814
2,105.70671081542969,53.12489700317383,0.999663233757019,80.47828674316406,120.79837036132812,0.9989920258522034,18.85887336730957,169.29075622558594,0.9993898868560791,8.234569549560547,168.18943786621094,0.9957679510116577,33.104705810546875,191.01800537109375,0.9922009706497192
3,111.56757354736328,54.64285659790039,0.9997805953025818,85.2272720336914,119.64378356933594,0.9997629523277283,22.03363037109375,163.3389434814453,0.9998689889907837,9.040267944335938,161.2963409423828,0.9989282488822937,28.41805076599121,185.5553436279297,0.9915214776992798
4,117.29473876953125,52.554847717285156,0.9999589920043945,90.18084716796875,117.54037475585938,0.9995377063751221,20.907258987426758,156.4258575439453,0.9996839761734009,11.823695182800293,155.2743377685547,0.9980772733688354,27.46472930908203,181.3905487060547,0.9969040751457214
5,126.31901550292969,54.90090560913086,0.9998294115066528,95.61055755615234,117.02530670166016,0.9992920160293579,25.22956085205078,150.4633331298828,0.9998623132705688,13.66214370727539,148.333984375,0.9996565580368042,28.39811134338379,174.3558807373047,0.9965751767158508
6,129.06478881835938,53.03694534301758,0.999972939491272,101.41951751708984,114.66632080078125,0.9997867941856384,24.872787475585938,143.7044219970703,0.9993601441383362,14.47748851776123,140.2618408203125,0.9986078143119812,27.90446662902832,171.01295471191406,0.9979230761528015
7,136.65322875976562,51.461952209472656,0.9999117851257324,106.6303482055664,114.2638168334961,0.9991748929023743,29.993873596191406,136.462890625,0.999512791633606,17.577415466308594,132.1957550048828,0.9997066855430603,30.24505615234375,160.28871154785156,0.9991918206214905
8,144.24215698242188,54.26458740234375,0.999835729598999,114.04267883300781,112.21880340576172,0.9996922016143799,35.1148681640625,127.02506256103516,0.999873161315918,24.834531784057617,124.36216735839844,0.9993178844451904,29.665040969848633,153.32723999023438,0.9970883727073669
9,148.03456115722656,53.329551696777344,0.9999791383743286,119.45159912109375,111.62847137451172,0.9996411800384521,38.40564727783203,123.41559600830078,0.9997628331184387,30.38465118408203,118.57292175292969,0.9995429515838623,35.142913818359375,146.49472045898438,0.999515175819397
10,154.49508666992188,51.072635650634766,0.999734103679657,123.09233093261719,111.440673828125,0.9970533847808838,46.93522262573242,115.89818572998047,0.9994961023330688,34.48276138305664,111.60494995117188,0.9996579885482788,37.673362731933594,139.81484985351562,0.9991757273674011
11,160.54177856445312,54.53956604003906,0.9999557733535767,131.91473388671875,110.56024932861328,0.9997979998588562,53.94662094116211,110.77919006347656,0.9997919201850891,43.070247650146484,104.36125183105469,0.9987778067588806,42.92157745361328,133.31130981445312,0.9993495345115662
12,167.083251953125,51.84585189819336,0.999942421913147,138.1434326171875,109.5224380493164,0.9985501170158386,58.78232192993164,106.7453384399414,0.9980633854866028,48.8250846862793,99.11861419677734,0.9997795224189758,46.86111831665039,126.65309143066406,0.9982975125312805
13,175.2508544921875,54.149654388427734,0.9996974468231201,144.12156677246094,109.27852630615234,0.9993780851364136,68.93912506103516,100.4773941040039,0.9999315738677979,60.152095794677734,92.16793823242188,0.9968999624252319,54.84107208251953,120.49659729003906,0.9993640780448914
14,180.1032257080078,53.963565826416016,0.9999594688415527,151.59970092773438,111.52001190185547,0.9997602105140686,76.01786041259766,95.99391174316406,0.9992663264274597,65.72280883789062,87.46148681640625,0.9996435642242432,62.278892517089844,113.46609497070312,0.9996688365936279
15,186.1233367919922,53.82387161254883,0.9997403025627136,156.28585815429688,112.9509048461914,0.999049723148346,82.9166488647461,91.57852172851562,0.999760091304779,76.44475555419922,82.93859100341797,0.9993809461593628,69.820068359375,107.4062728881836,0.9993948936462402
16,192.75997924804688,55.57164764404297,0.9994072914123535,165.523681640625,114.58631896972656,0.9998997449874878,96.58051300048828,86.16626739501953,0.9990366697311401,85.44938659667969,78.21241760253906,0.999129593372345,76.67337036132812,102.83536529541016,0.9985231757164001
17,196.9932403564453,54.647464752197266,0.999907374382019,170.98069763183594,115.3670425415039,0.9988422989845276,104.19927978515625,86.91301727294922,0.9998711347579956,97.62825012207031,75.95526123046875,0.9992443323135376,88.16292572021484,102.3982925415039,0.9996002316474915
18,204.6466827392578,57.46195983886719,0.9989522695541382,180.8338623046875,117.2710189819336,0.9998961687088013,115.37005615234375,83.22872924804688,0.9999141693115234,109.11961364746094,72.67080688476562,0.9983094930648804,96.56175994873047,100.33631134033203,0.9996106028556824
19,209.62518310546875,61.535972595214844,0.9997133612632751,186.03030395507812,118.88604736328125,0.9989614486694336,125.04483032226562,82.3189468383789,0.9992228746414185,117.85922241210938,72.17664337158203,0.9993897676467896,107.07003021240234,97.70375061035156,0.9992265701293945
20,215.01165771484375,62.53471755981445,0.9997934699058533,197.2493438720703,121.33607482910156,0.9997915625572205,135.4723663330078,82.28150939941406,0.9998807907104492,128.47914123535156,71.6061782836914,0.998879611492157,115.40613555908203,97.20010375976562,0.9996751546859741
21,221.3164520263672,62.52577590942383,0.9987034797668457,204.81895446777344,122.93634796142578,0.9986124038696289,146.0332489013672,81.30300903320312,0.9995933175086975,139.62413024902344,73.22962951660156,0.9982794523239136,126.73321533203125,97.80811309814453,0.9994797110557556
22,227.38291931152344,63.65463638305664,0.9998206496238708,214.24761962890625,123.58959197998047,0.999470055103302,155.2316436767578,87.04560089111328,0.999648928642273,147.45945739746094,75.96202087402344,0.9994164705276489,137.0901641845703,100.9382095336914,0.999327540397644
23,231.82901000976562,61.653648376464844,0.9998065829277039,223.5872039794922,124.52783203125,0.9980740547180176,164.9490966796875,85.3443832397461,0.9998612403869629,157.28707885742188,75.28052520751953,0.9975100755691528,145.6497039794922,102.91138458251953,0.9993571639060974
24,237.31234741210938,65.60204315185547,0.9996808767318726,233.07920837402344,127.09668731689453,0.99811851978302,171.044189453125,89.96215057373047,0.998691976070404,165.12353515625,79.90103912353516,0.9997711777687073,154.97003173828125,106.3744888305664,0.9984226226806641
25,243.1830596923828,66.64376068115234,0.999882698059082,246.53228759765625,127.65321350097656,0.9996540546417236,182.59326171875,94.51535034179688,0.9998486042022705,175.935546875,87.07183074951172,0.9997645020484924,167.15240478515625,112.37010955810547,0.9994053840637207
26,246.71571350097656,66.55248260498047,0.99985671043396,255.05760192871094,128.50872802734375,0.999049723148346,192.18505859375,98.9078140258789,0.9998418092727661,182.92926025390625,91.69438171386719,0.9995386600494385,176.65435791015625,118.05636596679688,0.999256432056427
27,250.7187957763672,69.71060943603516,0.999218225479126,265.49249267578125,129.95559692382812,0.9972690939903259,200.15806579589844,106.8017349243164,0.9998546838760376,191.4493865966797,99.97965240478516,0.9997780919075012,188.4495086669922,124.76248931884766,0.997982382774353
28,256.56964111328125,67.5617446899414,0.9994637370109558,280.3508605957031,127.82646942138672,0.996421217918396,209.8438262939453,113.16006469726562,0.9998237490653992,199.4674072265625,107.40581512451172,0.9993639588356018,199.28915405273438,135.7606658935547,0.9981959462165833
29,262.57989501953125,67.19244384765625,0.9993745684623718,293.084228515625,124.16633605957031,0.99916672706604,218.37876892089844,121.21533966064453,0.9997652173042297,209.11685180664062,118.31207275390625,0.999810516834259,214.78314208984375,143.924560546875,0.9987071752548218
30,267.3629455566406,68.3781509399414,0.9986259937286377,299.3077697753906,122.3418197631836,0.9961957931518555,228.55810546875,130.57373046875,0.9999207258224487,218.22938537597656,127.16194152832031,0.9994055032730103,229.8695526123047,152.01812744140625,0.9978821873664856
31,271.177978515625,68.06330871582031,0.9988910555839539,311.3879699707031,121.27386474609375,0.9996597766876221,240.91436767578125,139.3611297607422,0.9994858503341675,226.81277465820312,137.76260375976562,0.9996261596679688,248.49591064453125,163.6380615234375,0.9992685914039612
32,276.7817077636719,65.36400604248047,0.9993544220924377,322.837890625,118.56082916259766,0.9994900226593018,255.33302307128906,148.5378875732422,0.9996365308761597,241.2835693359375,147.59091186523438,0.9992982149124146,265.76495361328125,170.32931518554688,0.9962968230247498
33,280.7913513183594,65.81791687011719,0.9992601275444031,325.7082824707031,112.90450286865234,0.9996943473815918,266.87451171875,157.947509765625,0.998964786529541,255.13746643066406,157.46603393554688,0.9980146884918213,280.3482360839844,176.7420196533203,0.9770931005477905
34,284.6996154785156,66.8672866821289,0.9991506338119507,330.7618103027344,111.07347106933594,0.9456113576889038,284.2253112792969,165.45150756835938,0.9974449872970581,273.8016662597656,168.65138244628906,0.9930288195610046,303.5723876953125,180.83453369140625,0.624959409236908
35,290.3870849609375,64.82555389404297,0.9973625540733337,339.967529296875,105.8602294921875,0.8813491463661194,299.5025634765625,173.1712188720703,0.8868409395217896,291.1749267578125,175.01715087890625,0.6513288021087646,327.1919250488281,182.3238067626953,0.896787166595459
36,293.9578552246094,64.32386779785156,0.9984012246131897,344.9296875,101.93476867675781,0.7213233709335327,311.4937744140625,176.14756774902344,0.7120580673217773,307.9291076660156,176.57884216308594,0.18550939857959747,357.0279541015625,181.5450439453125,0.8292121887207031
37,295.7170715332031,64.33760070800781,0.9939122200012207,348.0074462890625,101.2515869140625,0.7140363454818726,328.4192199707031,173.73355102539062,0.9240404367446899,318.23992919921875,179.09413146972656,0.6414720416069031,371.9929504394531,177.90737915039062,0.9334119558334351
38,299.57171630859375,65.21510314941406,0.9964630007743835,349.92138671875,104.2886962890625,0.9863211512565613,345.3443298339844,171.45294189453125,0.9753039479255676,336.3675842285156,179.447509765625,0.9545194506645203,376.9505615234375,176.4141082763672,0.9737440347671509
39,302.6064147949219,64.4978256225586,0.9989243149757385,355.7971496582031,104.37705993652344,0.998816728591919,358.5682678222656,168.94140625,0.9971717000007629,347.6463928222656,177.72451782226562,0.9280933737754822,387.4539489746094,174.8647918701172,0.9841881990432739
40,306.5192565917969,61.82447814941406,0.9983305335044861,358.6300354003906,102.96626281738281,0.9994233846664429,365.51544189453125,165.4775390625,0.9864133596420288,356.37353515625,173.1329803466797,0.9462624192237854,399.6024169921875,168.94488525390625,0.9876784682273865
41,309.0396728515625,63.516666412353516,0.9979249238967896,361.7850036621094,100.53706359863281,0.999244213104248,379.4427490234375,163.95433044433594,0.9975718855857849,369.9578552246094,170.61328125,0.9932884573936462,404.22723388671875,163.02191162109375,0.9988571405410767
42,313.2130126953125,62.831600189208984,0.9945359230041504,364.502685546875,99.32617950439453,0.9963311553001404,388.9405517578125,159.09988403320312,0.9990418553352356,383.529541015625,169.07498168945312,0.9924163818359375,411.7158203125,159.88519287109375,0.9958641529083252
43,318.8096923828125,59.24957275390625,0.9868308305740356,369.0666809082031,97.12020874023438,0.9975270628929138,395.22161865234375,155.68255615234375,0.9975988268852234,390.2220764160156,165.68865966796875,0.9967067837715149,420.9762878417969,148.3230438232422,0.9972033500671387
44,319.76904296875,64.06417083740234,0.9922164678573608,370.676025390625,95.04402160644531,0.9968208074569702,407.0853271484375,152.484130859375,0.9996957778930664,402.09161376953125,162.55201721191406,0.9955867528915405,431.1341857910156,143.85740661621094,0.9985637068748474
45,320.94927978515625,62.18807601928711,0.9973466396331787,371.8826904296875,93.42708587646484,0.9984982013702393,413.787841796875,148.0242156982422,0.9986088871955872,409.2887878417969,158.5360870361328,0.9922768473625183,437.1148681640625,138.33096313476562,0.995471715927124
46,324.2367248535156,62.217830657958984,0.9993438124656677,373.9744567871094,93.66876983642578,0.9982616305351257,420.78033447265625,143.5746612548828,0.9996533393859863,418.64520263671875,154.0727996826172,0.9972279667854309,445.8916931152344,130.95315551757812,0.9977547526359558
47,327.9895935058594,60.062259674072266,0.9989234805107117,377.5123291015625,92.45378112792969,0.9952581524848938,427.8439025878906,141.01556396484375,0.9982179999351501,426.85784912109375,150.5188751220703,0.9969191551208496,452.14404296875,127.74954986572266,0.9982898831367493
48,327.4205627441406,55.59429931640625,0.9989508390426636,382.16278076171875,92.36345672607422,0.9931092262268066,431.8564758300781,137.89390563964844,0.998943030834198,430.8189392089844,144.93289184570312,0.9970239996910095,457.41290283203125,123.92610168457031,0.9944790601730347
49,331.807861328125,57.158748626708984,0.9979462027549744,384.6639404296875,92.04247283935547,0.9963117241859436,437.2247009277344,134.79830932617188,0.9996260404586792,435.8222961425781,144.85862731933594,0.9984222650527954,459.3409423828125,122.12374114990234,0.9935259819030762
50,334.62493896484375,56.330482482910156,0.9986245632171631,387.39129638671875,89.54871368408203,0.9978322386741638,440.97998046875,131.16592407226562,0.9996090531349182,440.44842529296875,142.94412231445312,0.9941530823707581,462.8092956542969,121.44979095458984,0.9921941757202148
51,337.08770751953125,55.447452545166016,0.9989895224571228,392.0074768066406,90.06647491455078,0.9960973858833313,444.1744689941406,131.23703002929688,0.9990859031677246,441.5461730957031,142.2698516845703,0.9888715147972107,465.17803955078125,119.74598693847656,0.9917286038398743
52,337.7326354980469,53.07319259643555,0.999651312828064,392.8807678222656,89.22830963134766,0.9961399435997009,446.147705078125,132.42483520507812,0.9978596568107605,447.90234375,140.63047790527344,0.9879652261734009,467.15447998046875,121.11741638183594,0.9926440119743347
